id,name,url,institution
1118,Simulation and modeling of natural processes,https://www.classcentral.com/course/modeling-simulation-natural-processes-8554,University of Geneva
1119,Éléments de Géomatique,https://www.classcentral.com/course/geomatique-1605,École Polytechnique Fédérale de Lausanne
1120,Introduction aux Systèmes d’Information Géographique – Partie 1,https://www.classcentral.com/course/intro-sig-1-6205,École Polytechnique Fédérale de Lausanne
1121,Comprendre les Microcontroleurs,https://www.classcentral.com/course/microcontroleurs-1238,École Polytechnique Fédérale de Lausanne
1122,Geographical Information Systems – Part 1,https://www.classcentral.com/course/gis-1-13293,École Polytechnique Fédérale de Lausanne
1123,L’art des structures 1 : Câbles et arcs,https://www.classcentral.com/course/structures-1187,École Polytechnique Fédérale de Lausanne
1124,BIM Application for Engineers,https://www.classcentral.com/course/bim-application-12117,National Taiwan University
1125,BIM Fundamentals for Engineers,https://www.classcentral.com/course/bim-fundamentals-12179,National Taiwan University
1126,Pensamiento sistémico,https://www.classcentral.com/course/pensamiento-sistemico-4332,Universidad Nacional Autónoma de México
1127,Digital Systems: From Logic Gates to Processors,https://www.classcentral.com/course/digital-systems-7359,Universitat Autònoma de Barcelona (Autonomous University of Barcelona)
1128,Industrial Biotechnology,https://www.classcentral.com/course/industrial-biotech-8886,University of Manchester
1129,"Nanotechnology and Nanosensors, Part1",https://www.classcentral.com/course/nanosensors1-5200,Technion – Israel Institute of Technology
1130,التقانة والمستشعرات النانوية – الجزء الاول,https://www.classcentral.com/course/nanosar1-1012,Technion – Israel Institute of Technology
1131,Ingeniería de Tráfico,https://www.classcentral.com/course/ingenieria-trafico-11950,Pontificia Universidad Católica de Chile
1132,Análisis de Sistemas de Transporte,https://www.classcentral.com/course/analisis-sistemas-de-transporte-4728,Pontificia Universidad Católica de Chile
1133,Sports and Building Aerodynamics,https://www.classcentral.com/course/spobuildaerodynamics-1392,Eindhoven University of Technology
1134,Nanotechnology: A Maker’s Course,https://www.classcentral.com/course/nanotechnology-9262,Duke University
1135,Linear Circuits 2: AC Analysis ,https://www.classcentral.com/course/linear-circuits-ac-analysis-9474,Georgia Institute of Technology
1136,Material Processing,https://www.classcentral.com/course/material-science-engineering-6210,Georgia Institute of Technology
1137,Introduction to High-Throughput Materials Development,https://www.classcentral.com/course/high-throughput-6537,Georgia Institute of Technology
1138,The City and You: Find Your Best Place,https://www.classcentral.com/course/city-and-you-find-best-place-8668,University of Toronto
1139,Gestion et Politique de l’eau ,https://www.classcentral.com/course/gestion-eau-4753,University of Geneva
1140,"L’Art des Structures 2 : treillis, poutres, dalles et cadres",https://www.classcentral.com/course/structures2-3009,École Polytechnique Fédérale de Lausanne
1141,Systèmes d’Information Géographique – Partie 2,https://www.classcentral.com/course/sig-2-8802,École Polytechnique Fédérale de Lausanne
1142,Villes africaines: Mobilités et transports urbains,https://www.classcentral.com/course/mobilite-afrique-4589,École Polytechnique Fédérale de Lausanne
1143,Enseignes et afficheurs à LED,https://www.classcentral.com/course/enseignes-et-afficheurs-led-9206,École Polytechnique Fédérale de Lausanne
1144,Villes africaines: Environnement et enjeux de développement durable,https://www.classcentral.com/course/env-urbain-afrique-4515,École Polytechnique Fédérale de Lausanne
1145,Systèmes d’Information Géographique – Partie 1,https://www.classcentral.com/course/sig-1-8801,École Polytechnique Fédérale de Lausanne
1146,Mobilité et urbanisme,https://www.classcentral.com/course/mobiurba-4409,École Polytechnique Fédérale de Lausanne
1147,機器人學一 (Robotics (1)),https://www.classcentral.com/course/robotics1-8553,National Taiwan University
1148,3D CAD Application,https://www.classcentral.com/course/3d-cad-application-10672,National Taiwan University
1149,3D CAD Fundamental,https://www.classcentral.com/course/3d-cad-fundamental-9997,National Taiwan University
1150,Cómo autoconstruir tu vivienda. Segunda etapa,https://www.classcentral.com/course/como-autoconstruir-tu-vivienda-segunda-e-12387,Universidad Nacional Autónoma de México
1151,Cómo autoconstruir tu vivienda,https://www.classcentral.com/course/como-autoconstruir-tu-vivienda-4642,Universidad Nacional Autónoma de México
1152,Control automático: La tecnología invisible ,https://www.classcentral.com/course/control-automatico-9258,Universidad Nacional Autónoma de México
1153,Silicon Thin Film Solar Cells,https://www.classcentral.com/course/silicon-thin-film-solar-cells-13469,École Polytechnique
1154,Plastic electronics,https://www.classcentral.com/course/plastic-electronics-10161,École Polytechnique
1155,Fundamentals of Modern Russian-designed NPPs with VVER-1200,https://www.classcentral.com/course/fundamentals-of-modern-russian-designed-npps-with-21820,National Research Nuclear University MEPhI
1156,Введение в лазерные технологии,https://www.classcentral.com/course/vveedenie-v-lasernie-tehnologii-8486,National Research Nuclear University MEPhI
1157,Recent Advances in Freeform Electronics,https://www.classcentral.com/course/freeform-electronics-17374,Yonsei University
